Date,Close,Volume,Open,High,Low
5/24/2022,140.36 ,104132700,140.81 ,141.97 ,137.33 
5/23/2022,143.11 ,117726300,137.79 ,143.26 ,137.65 
5/20/2022,137.59 ,137426100,139.09 ,140.70 ,132.61 
5/19/2022,137.35 ,136095600,139.88 ,141.66 ,136.60 
5/18/2022,140.82 ,109742900,146.85 ,147.36 ,139.90 
5/17/2022,149.24 ,78336250,148.86 ,149.77 ,146.68 
5/16/2022,145.54 ,86643780,145.55 ,147.52 ,144.18 
5/13/2022,147.11 ,113990900,144.59 ,148.11 ,143.11 
5/12/2022,142.56 ,182602000,142.77 ,146.20 ,138.80 
5/11/2022,146.50 ,142689800,153.50 ,155.45 ,145.81 
5/10/2022,154.51 ,115366700,155.52 ,156.74 ,152.93 
5/9/2022,152.06 ,131577900,154.93 ,155.83 ,151.49 
5/6/2022,157.28 ,116124600,156.01 ,159.44 ,154.18 
5/5/2022,156.77 ,130525300,163.85 ,164.08 ,154.95 
5/4/2022,166.02 ,108256500,159.67 ,166.48 ,159.26 
5/3/2022,159.48 ,88966530,158.15 ,160.71 ,156.32 
5/2/2022,157.96 ,123055300,156.71 ,158.23 ,153.27 
4/29/2022,157.65 ,131747600,161.84 ,166.20 ,157.25 
4/28/2022,163.64 ,130216800,159.25 ,164.52 ,158.93 
4/27/2022,156.57 ,88063190,155.91 ,159.79 ,155.38 
4/26/2022,156.80 ,95623240,162.25 ,162.34 ,156.72 
4/25/2022,162.88 ,96046380,161.12 ,163.17 ,158.46 
4/22/2022,161.79 ,84882420,166.46 ,167.87 ,161.50 
4/21/2022,166.42 ,87227770,168.91 ,171.53 ,165.91 
4/20/2022,167.23 ,67929810,168.76 ,168.88 ,166.10 
4/19/2022,167.40 ,67723830,165.02 ,167.82 ,163.91 
4/18/2022,165.07 ,69023940,163.92 ,166.60 ,163.57 
4/14/2022,165.29 ,75329380,170.62 ,171.27 ,165.04 
4/13/2022,170.40 ,70618930,167.39 ,171.04 ,166.77 
4/12/2022,167.66 ,79265180,168.02 ,169.87 ,166.64 
4/11/2022,165.75 ,72246710,168.71 ,169.03 ,165.50 
4/8/2022,170.09 ,76575510,171.78 ,171.78 ,169.20 
4/7/2022,172.14 ,77594650,171.16 ,173.36 ,169.85 
4/6/2022,171.83 ,89058780,172.36 ,173.63 ,170.13 
4/5/2022,175.06 ,73401790,177.50 ,178.30 ,174.42 
4/4/2022,178.44 ,76545980,174.57 ,178.49 ,174.44 
4/1/2022,174.31 ,78751330,174.03 ,174.88 ,171.94 
3/31/2022,174.61 ,103049300,177.84 ,178.03 ,174.40 
3/30/2022,177.77 ,92633150,178.55 ,179.61 ,176.70 
3/29/2022,178.96 ,100589400,176.69 ,179.01 ,176.34 
3/28/2022,175.60 ,90371920,172.17 ,175.73 ,172 
3/25/2022,174.72 ,80546160,173.88 ,175.28 ,172.75 
3/24/2022,174.07 ,90131420,171.06 ,174.14 ,170.21 
3/23/2022,170.21 ,98062670,167.99 ,172.64 ,167.65 
3/22/2022,168.82 ,81532010,165.51 ,169.42 ,164.91 
3/21/2022,165.38 ,95811350,163.51 ,166.35 ,163.02 
3/18/2022,163.98 ,123511700,160.51 ,164.48 ,159.76 
3/17/2022,160.62 ,75615380,158.61 ,161 ,157.63 
3/16/2022,159.59 ,102300200,157.05 ,160 ,154.46 
3/15/2022,155.09 ,92964300,150.90 ,155.57 ,150.38 
3/14/2022,150.62 ,108732100,151.45 ,154.12 ,150.10 
3/11/2022,154.73 ,96970100,158.93 ,159.28 ,154.50 
3/10/2022,158.52 ,105342000,160.20 ,160.39 ,155.98 
